popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
46.0,0.0328,0.569,204933.0,0.948,0.925,0.0928,-7.536,0.0512,192.043,0.8759999999999999,Electronic
53.0,0.00216,0.474,132733.0,0.994,0.126,0.314,-1.884,0.103,171.433,0.847,Rap
39.0,0.156,0.529,-1.0,0.56,0.0299,0.155,-12.972,0.0329,104.516,0.866,Country
34.0,0.441,0.562,157307.0,0.728,3.33e-05,0.351,-9.14,0.0984,78.205,0.731,Jazz
66.0,0.173,0.589,212827.0,0.8440000000000001,0.0,0.076,-3.925,0.0626,81.945,0.562,Rock
54.0,0.0173,0.575,246333.0,0.591,0.0,0.173,-5.916,0.0279999999999999,107.967,0.332,Rock
50.0,0.00199,0.612,206107.0,0.794,0.0,0.0776,-5.857,0.0377,130.025,0.482,Rock
54.0,0.424,0.669,269323.0,0.517,0.0,0.155,-5.97,0.0345,140.931,0.354,Rock
69.0,0.0416,0.341,255600.0,0.674,5.47e-06,0.345,-7.643,0.0492,88.93299999999999,0.452,Rock
60.0,0.0819999999999999,0.8029999999999999,247160.0,0.718,0.000881,0.079,-6.457000000000001,0.0357,115.017,0.933,Rock
63.0,0.0004669999999999,0.617,254510.0,0.7040000000000001,1.33e-05,0.326,-6.835,0.0301,99.804,0.358,Rock
61.0,0.0774,0.486,198763.0,0.892,0.0,0.0532,-3.529,0.0606,72.984,0.361,Rock
26.0,0.77,0.81,153093.0,0.524,1.03e-05,0.161,-9.77,0.0339,130.214,0.949,Blues
57.0,0.0837,0.498,175547.0,0.639,4.61e-05,0.1939999999999999,-6.04,0.0328,120.40649672489091,0.18,Rock
46.0,0.141,0.612,316653.0,0.607,0.1669999999999999,0.104,-8.637,0.0396,79.975,0.6609999999999999,Electronic
23.0,0.146,0.72,228923.0,0.425,0.108,0.785,-14.148,0.71,129.929,0.5479999999999999,Electronic
46.0,0.00191,0.504,251773.0,0.952,0.0,0.6990000000000001,-3.449,0.0638,104.007,0.237,Alternative
30.0,0.8059999999999999,0.611,306333.0,0.67,0.913,0.121,-9.736,0.0297,95.109,0.706,Jazz
63.0,0.309,0.635,223480.0,0.562,2.01e-06,0.11,-8.92,0.168,181.014,0.288,Hip-Hop
34.0,0.0183,0.544,-1.0,0.784,0.0172,0.266,-5.031000000000001,0.0615,168.364,0.462,Electronic
63.0,0.171,0.348,183640.0,0.87,4.4e-06,0.2019999999999999,-5.86,0.1369999999999999,83.39200000000001,0.763,Country
37.0,0.0266,0.491,324100.0,0.943,0.0,0.21,-3.0460000000000003,0.0354,92.483,0.396,Anime
11.0,0.929,0.563,142573.0,0.252,6.11e-05,0.126,-10.691,0.0287,111.721,0.0792,Anime
63.0,3.2200000000000003e-05,0.47,215120.0,0.885,0.196,0.1689999999999999,-7.224,0.0354,138.153,0.79,Rock
79.0,0.57,0.65,180056.0,0.306,7.07e-06,0.0707,-9.443,0.0393,118.068,0.605,Rock
61.0,0.74,0.5710000000000001,233667.0,0.281,0.0,0.163,-10.56,0.0475,142.263,0.294,Rock
53.0,0.917,0.561,228920.0,0.252,0.0,0.106,-9.448,0.0345,144.226,0.346,Rock
53.0,0.000252,0.276,266027.0,0.883,0.462,0.0973,-5.625,0.0446,164.05200000000002,0.1639999999999999,Rock
45.0,0.00126,0.83,180510.0,0.868,0.11,0.124,-4.223,0.159,149.95,0.7020000000000001,Electronic
68.0,0.126,0.497,187896.0,0.914,1.98e-05,0.2739999999999999,-4.308,0.0455,148.893,0.385,Rock
45.0,0.445,0.715,197013.0,0.662,0.0,0.0813,-5.761,0.188,87.904,0.626,Jazz
62.0,0.006,0.4639999999999999,213173.0,0.797,0.000304,0.392,-5.244,0.0333,129.964,0.547,Rock
57.0,0.402,0.498,-1.0,0.8059999999999999,5.74e-06,0.525,-5.284,0.0265,120.40649672489091,0.664,Rock
47.0,0.054,0.482,-1.0,0.627,2.99e-06,0.111,-5.779,0.03,95.903,0.17,Alternative
49.0,0.0117,0.562,284093.0,0.8959999999999999,0.0,0.322,-7.974,0.203,93.378,0.362,Alternative
63.0,0.0162,0.715,-1.0,0.6559999999999999,0.0005009999999999,0.0882,-6.154,0.0259,126.01,0.423,Rock
25.0,0.996,0.36,198053.0,0.0612,0.885,0.11,-25.708,0.0447,92.864,0.11,Classical
51.0,0.00925,0.6,201280.0,0.9,0.293,0.2689999999999999,-8.434,0.0457,120.40649672489091,0.918,Rock
55.0,0.0841,0.306,384467.0,0.639,0.0,0.371,-9.91,0.0336,149.686,0.293,Rock
58.0,0.171,0.518,303307.0,0.7440000000000001,7.63e-06,0.109,-7.106,0.0351,98.022,0.161,Rock
40.0,0.000636,0.384,180400.0,0.917,4.35e-05,0.409,-4.516,0.1939999999999999,79.47800000000001,0.4429999999999999,Blues
57.0,0.123,0.7490000000000001,238054.0,0.649,0.0,0.371,-8.623,0.053,120.068,0.146,Hip-Hop
35.0,0.0153,0.55,205559.0,0.7340000000000001,0.0,0.2,-5.72,0.031,74.995,0.5920000000000001,Country
60.0,4.85e-05,0.518,189787.0,0.718,0.244,0.25,-4.355,0.0343,127.593,0.531,Rock
37.0,0.6779999999999999,0.73,163933.0,0.43,1.99e-06,0.179,-8.232000000000001,0.0434,123.472,0.5720000000000001,Jazz
48.0,0.449,0.667,149987.0,0.485,2.33e-06,0.0716,-7.164,0.0602,119.161,0.768,Jazz
57.0,0.735,0.7170000000000001,146400.0,0.373,0.0,0.303,-7.185,0.061,138.513,0.5379999999999999,Rock
51.0,0.151,0.7659999999999999,291800.0,0.6809999999999999,8.68e-05,0.266,-6.919,0.0565,141.94,0.853,Rock
51.0,0.0224,0.647,233573.0,0.69,0.0,0.147,-8.657,0.0454,117.514,0.682,Alternative
57.0,0.58,0.518,-1.0,0.417,0.0,0.0722,-13.268,0.0325,120.40649672489091,0.311,Rock
63.0,0.0038399999999999,0.635,190448.0,0.908,0.0834,0.239,-4.795,0.0563,110.012,0.637,Rock
54.0,0.2289999999999999,0.862,148747.0,0.598,0.0030399999999999,0.135,-6.667000000000001,0.0612,141.934,0.561,Hip-Hop
69.0,0.0004559999999999,0.412,227440.0,0.92,0.0026,0.11,-4.852,0.0575,93.162,0.455,Rock
13.0,0.826,0.153,205347.0,0.359,0.888,0.0816,-17.719,0.0384,83.89399999999999,0.313,Anime
53.0,0.258,0.492,202032.0,0.7240000000000001,0.162,0.255,-6.79,0.0332,84.23700000000001,0.3229999999999999,Rock
35.0,0.437,0.62,184000.0,0.611,0.0288,0.118,-10.708,0.0275,93.119,0.6890000000000001,Blues
64.0,0.0507,0.693,184615.0,0.563,0.0021,0.1119999999999999,-8.552999999999999,0.0675,155.96200000000002,0.618,Rap
64.0,0.263,0.782,-1.0,0.508,0.0706,0.157,-7.153,0.231,137.954,0.356,Hip-Hop
47.0,0.23,0.622,196227.0,0.4479999999999999,0.0,0.102,-10.709,0.0265,120.40649672489091,0.5529999999999999,Alternative
37.0,0.192,0.265,205320.0,0.6409999999999999,0.952,0.11,-6.854,0.033,186.004,0.1669999999999999,Classical
51.0,0.000273,0.616,-1.0,0.985,0.000145,0.111,-1.598,0.0832,109.979,0.487,Rock
55.0,0.83,0.387,-1.0,0.1939999999999999,0.00145,0.131,-10.829,0.031,121.7,0.0862,Rock
57.0,0.0929,0.68,186800.0,0.7979999999999999,0.0,0.0746,-4.978,0.1159999999999999,116.989,0.594,Rock
53.0,0.903,0.637,214240.0,0.129,0.0,0.107,-11.89,0.0405,139.74200000000002,0.368,Rock
58.0,0.00144,0.627,194533.0,0.63,0.19,0.337,-12.33,0.0403,125.154,0.3229999999999999,Rock
55.0,0.16,0.525,257346.0,0.501,0.025,0.146,-14.192,0.0318,108.291,0.3329999999999999,Rock
59.0,0.122,0.593,218853.0,0.601,5.69e-06,0.181,-5.996,0.0289999999999999,120.40649672489091,0.531,Rock
73.0,0.2319999999999999,0.848,181948.0,0.649,0.0,0.1009999999999999,-6.082999999999999,0.315,118.04,0.629,Hip-Hop
27.0,0.7020000000000001,0.738,160240.0,0.411,0.0086,0.106,-8.988,0.0507,76.005,0.6509999999999999,Blues
59.0,0.205,0.674,-1.0,0.892,0.0,0.6940000000000001,-3.771,0.0293,114.048,0.889,Rock
41.0,0.178,0.7,227159.0,0.679,0.0,0.0787,-7.019,0.1169999999999999,78.817,0.412,Country
48.0,0.131,0.8859999999999999,256000.0,0.503,0.000692,0.104,-7.189,0.0437,120.40649672489091,0.55,Hip-Hop
56.0,0.298,0.632,180000.0,0.742,0.0,0.433,-7.041,0.0846,160.037,0.657,Rap
71.0,0.0272,0.5770000000000001,168613.0,0.939,0.0,0.24,-1.352,0.108,105.092,0.7140000000000001,Rock
52.0,0.15,0.835,170658.0,0.873,0.0,0.304,-4.052,0.247,122.019,0.833,Rap
44.0,0.71,0.627,370453.0,0.496,0.831,0.3429999999999999,-11.866,0.0396,95.0,0.0801,Electronic
54.0,0.173,0.8109999999999999,250909.0,0.472,0.407,0.0969,-13.446,0.0429,131.983,0.8220000000000001,Rock
53.0,0.00824,0.502,211809.0,0.758,0.0,0.102,-5.035,0.0718,149.738,0.423,Rock
47.0,0.111,0.69,268138.0,0.74,0.807,0.0899,-5.509,0.0741,144.935,0.363,Electronic
63.0,0.35,0.691,198907.0,0.336,0.000684,0.119,-10.843,0.0392,135.954,0.613,Rock
64.0,0.00165,0.519,239333.0,0.78,2.14e-05,0.156,-4.939,0.0356,145.125,0.166,Rock
47.0,0.324,0.644,85775.0,0.722,0.892,0.0895,-4.872,0.0787,89.51899999999999,0.769,Jazz
23.0,0.146,0.7440000000000001,161544.0,0.65,0.204,0.2239999999999999,-7.676,0.183,120.40649672489091,0.357,Electronic
25.0,0.00398,0.568,373930.0,0.5870000000000001,0.74,0.684,-11.238,0.0331,128.00799999999998,0.038,Electronic
65.0,0.096,0.643,248880.0,0.945,7.71e-06,0.495,-4.66,0.0779,120.723,0.526,Rock
66.0,0.000821,0.389,189707.0,0.748,0.00058,0.358,-4.461,0.0805,120.40649672489091,0.216,Rock
54.0,0.00664,0.496,316004.0,0.5539999999999999,0.0,0.111,-8.487,0.365,80.0,0.3279999999999999,Rap
8.0,0.954,0.0843,1617333.0,0.123,0.74,0.711,-17.919,0.0396,56.855,0.0446,Classical
55.0,0.266,0.7070000000000001,221626.0,0.6940000000000001,1.04e-06,0.283,-5.381,0.0329,115.993,0.518,Rock
48.0,0.198,0.741,194581.0,0.556,0.0597,0.126,-8.28,0.046,129.53799999999998,0.2,Hip-Hop
26.0,0.168,0.291,541640.0,0.937,0.47,0.86,-7.032,0.103,153.32399999999998,0.427,Blues
29.0,0.972,0.154,450413.0,0.0118,0.847,0.0709,-31.067,0.0467,80.15100000000001,0.0524,Classical
55.0,0.349,0.446,245693.0,0.519,0.00599,0.249,-7.585,0.0274,151.267,0.3829999999999999,Country
53.0,0.0133,0.2289999999999999,215653.0,0.871,2.18e-06,0.266,-4.558,0.103,86.965,0.395,Rock
30.0,0.915,0.479,124400.0,0.217,0.000816,0.0853,-11.499,0.0291,74.86399999999999,0.364,Jazz
18.0,0.903,0.477,-1.0,0.221,0.852,0.113,-20.078,0.0329,128.154,0.198,Anime
28.0,0.422,0.585,232400.0,0.726,0.0235,0.332,-12.614,0.0549,126.105,0.884,Blues
51.0,0.0424,0.512,206067.0,0.552,0.00213,0.111,-9.499,0.0355,143.977,0.21,Rock
48.0,0.3339999999999999,0.768,192923.0,0.7659999999999999,0.0,0.115,-3.697,0.0891,129.985,0.6759999999999999,Rap
73.0,0.0249,0.413,-1.0,0.677,0.0,0.0793,-5.12,0.255,120.40649672489091,0.0845,Hip-Hop
64.0,0.2789999999999999,0.723,298200.0,0.691,0.0,0.0363,-6.784,0.2189999999999999,138.03799999999998,0.512,Hip-Hop
64.0,0.79,0.727,133507.0,0.3379999999999999,0.0,0.105,-13.887,0.0454,122.421,0.6459999999999999,Rock
61.0,0.836,0.33,187040.0,0.214,0.0701,0.178,-17.699,0.0311,147.795,0.275,Rock
61.0,0.0824,0.5710000000000001,226200.0,0.698,0.0037,0.2789999999999999,-5.056,0.0353,120.40649672489091,0.61,Rock
51.0,0.0258,0.445,-1.0,0.882,0.000808,0.0824,-4.979,0.109,144.28,0.573,Alternative
59.0,0.031,0.513,242667.0,0.77,0.0,0.198,-5.131,0.0277,120.40649672489091,0.8490000000000001,Rock
32.0,0.000744,0.471,228520.0,0.944,0.000587,0.193,-4.673,0.0686,94.414,0.763,Blues
41.0,0.0873,0.364,187853.0,0.845,1.4e-06,0.0843,-4.115,0.0571,130.02200000000002,0.428,Blues
69.0,0.0156,0.711,248640.0,0.924,0.0,0.114,-3.398,0.0282,108.033,0.912,Rock
74.0,0.0459,0.655,-1.0,0.835,0.0,0.409,-3.451,0.059,91.035,0.165,Rap
52.0,0.152,0.715,130342.0,0.684,0.0,0.473,-8.138,0.5489999999999999,89.963,0.767,Hip-Hop
33.0,0.933,0.304,-1.0,0.126,0.939,0.124,-20.634,0.0286,84.37700000000001,0.307,Jazz
57.0,0.0164,0.638,191126.0,0.682,1.09e-05,0.457,-3.798,0.0526,142.977,0.206,Rock
58.0,0.00107,0.5,207173.0,0.836,4.03e-05,0.1969999999999999,-6.165,0.0454,90.01100000000001,0.41,Rock
24.0,0.00633,0.606,186627.0,0.8,9.04e-06,0.506,-4.194,0.0271,130.006,0.691,Rock
63.0,0.0129,0.826,130909.0,0.914,0.0,0.0787,-2.925,0.266,93.532,0.687,Rap
61.0,0.0017399999999999,0.564,257347.0,0.941,6.42e-05,0.242,-4.787,0.051,112.008,0.542,Rock
63.0,0.0414,0.325,153160.0,0.872,0.0,0.478,-2.535,0.1009999999999999,199.842,0.7440000000000001,Rock
65.0,0.723,0.7140000000000001,-1.0,0.3429999999999999,5.48e-06,0.102,-7.641,0.38,72.348,0.372,Rap
61.0,0.0214,0.426,271533.0,0.805,0.0,0.0951,-5.827999999999999,0.0398,88.088,0.2189999999999999,Rock
38.0,0.733,0.54,-1.0,0.37,0.000932,0.0886,-12.017,0.0463,88.36,0.208,Blues
34.0,3.23e-06,0.275,144600.0,0.958,0.959,0.315,-9.171,0.0408,99.993,0.727,Blues
46.0,0.129,0.6759999999999999,492267.0,0.352,0.283,0.11,-10.239,0.0345,121.438,0.492,Alternative
6.0,0.978,0.239,708760.0,0.0514,0.8740000000000001,0.1009999999999999,-23.135,0.0451,110.333,0.0388,Classical
50.0,0.00263,0.884,228667.0,0.855,0.00104,0.0499,-8.919,0.2269999999999999,99.018,0.415,Rap
62.0,0.0234,0.628,210653.0,0.797,3.57e-06,0.1119999999999999,-6.103,0.0371,120.40649672489091,0.497,Rock
69.0,0.00197,0.352,-1.0,0.912,0.0,0.193,-4.253,0.0725,166.795,0.351,Rock
63.0,0.0105,0.359,563893.0,0.762,0.281,0.368,-8.323,0.032,89.259,0.1669999999999999,Rock
62.0,0.0129,0.595,341533.0,0.804,1.97e-05,0.299,-7.911,0.0326,89.846,0.586,Rock
48.0,0.0185,0.3279999999999999,574000.0,0.479,0.682,0.268,-13.336,0.0313,119.596,0.0569,Rock
52.0,0.00297,0.3989999999999999,294000.0,0.925,0.799,0.106,-5.45,0.0382,176.009,0.145,Electronic
55.0,0.00394,0.507,207724.0,0.6629999999999999,0.0001889999999999,0.13,-9.163,0.139,94.884,0.327,Rock
51.0,0.425,0.436,154749.0,0.655,0.0,0.3929999999999999,-8.152999999999999,0.159,139.71200000000002,0.523,Alternative
55.0,0.178,0.687,242347.0,0.6509999999999999,0.00879,0.149,-6.696000000000001,0.0255,119.937,0.514,Rock
55.0,0.000651,0.2,184427.0,0.863,0.0,0.3389999999999999,-3.424,0.0626,93.977,0.4679999999999999,Alternative
12.0,0.991,0.254,106933.0,0.203,0.8859999999999999,0.313,-19.116,0.04,109.666,0.172,Classical
40.0,0.102,0.5579999999999999,197053.0,0.8370000000000001,0.0,0.0651,-4.385,0.0356,170.03400000000002,0.857,Country
60.0,0.648,0.4429999999999999,159394.0,0.489,0.424,0.131,-6.932,0.0348,124.031,0.0517,Rock
63.0,0.7879999999999999,0.688,165733.0,0.711,2.64e-05,0.0683,-10.453,0.0832,152.27700000000002,0.935,Rock
57.0,0.000126,0.626,188600.0,0.7909999999999999,0.0219,0.439,-2.734,0.0721,133.204,0.433,Rock
62.0,0.0904,0.395,234973.0,0.5379999999999999,0.000453,0.0685,-10.3,0.0456,150.785,0.369,Rock
54.0,0.0593,0.608,233147.0,0.863,0.0,0.228,-4.87,0.131,150.029,0.476,Rap
59.0,0.000386,0.542,183480.0,0.939,3.85e-06,0.0931,-4.166,0.0822,129.983,0.256,Rock
58.0,0.669,0.741,142933.0,0.363,0.0,0.1169999999999999,-12.484000000000002,0.0335,123.263,0.8590000000000001,Rock
56.0,0.085,0.752,228907.0,0.619,0.0,0.107,-8.156,0.0864,120.40649672489091,0.386,Rap
57.0,0.7859999999999999,0.127,288733.0,0.335,0.427,0.111,-8.298,0.0329,77.078,0.0686,Alternative
58.0,0.0091,0.6679999999999999,299640.0,0.8029999999999999,0.00182,0.5710000000000001,-11.282,0.0459,115.386,0.423,Rock
31.0,0.569,0.449,249600.0,0.871,1.93e-06,0.401,-2.365,0.0714,204.048,0.7859999999999999,Anime
55.0,0.4589999999999999,0.657,210747.0,0.69,0.0,0.122,-6.8660000000000005,0.0298,112.014,0.573,Rock
53.0,0.000377,0.138,257520.0,0.691,0.7859999999999999,0.0895,-7.976,0.0443,170.342,0.36,Rock
55.0,0.0226,0.4479999999999999,224550.0,0.55,0.205,0.0425,-7.427,0.026,81.814,0.7090000000000001,Rock
51.0,0.00537,0.507,231133.0,0.6859999999999999,0.0,0.124,-4.974,0.0401,120.40649672489091,0.389,Rock
61.0,0.517,0.6679999999999999,228747.0,0.477,0.446,0.139,-8.709,0.0358,88.005,0.0966,Rock
46.0,0.89,0.42,213253.0,0.426,0.0,0.919,-8.648,0.0274,120.40649672489091,0.489,Country
53.0,0.56,0.574,182267.0,0.563,9.39e-05,0.3229999999999999,-8.543,0.0292,134.083,0.67,Rock
65.0,0.218,0.552,125827.0,0.742,0.0,0.3389999999999999,-7.962999999999999,0.0454,138.591,0.7509999999999999,Rock
54.0,0.141,0.535,224960.0,0.8029999999999999,0.0,0.297,-4.1160000000000005,0.0465,147.90200000000002,0.342,Rock
23.0,0.377,0.7340000000000001,180773.0,0.6759999999999999,0.221,0.741,-7.273,0.04,94.518,0.907,Blues
53.0,0.00358,0.765,460493.0,0.397,0.715,0.1169999999999999,-10.538,0.0359,123.89,0.15,Rock
75.0,0.0144,0.526,195200.0,0.862,0.0597,0.2289999999999999,-6.002999999999999,0.0905,90.052,0.528,Rock
36.0,0.0914,0.698,218000.0,0.921,0.0,0.0602,-4.091,0.0387,120.40649672489091,0.685,Country
33.0,0.377,0.519,-1.0,0.374,0.0,0.0767,-8.878,0.0272,111.336,0.422,Blues
54.0,0.257,0.69,329627.0,0.877,0.0,0.14,-4.074,0.264,92.165,0.779,Hip-Hop
59.0,0.19,0.444,206173.0,0.56,0.0,0.1169999999999999,-5.178999999999999,0.0267,172.22400000000002,0.34,Rock
56.0,0.993,0.187,350107.0,0.00914,0.934,0.109,-31.231,0.0362,67.14399999999999,0.0383,Classical
43.0,0.989,0.198,-1.0,0.0382,0.969,0.17,-29.885,0.0443,136.392,0.127,Classical
13.0,0.812,0.615,109107.0,0.2289999999999999,0.953,0.165,-18.944000000000003,0.0472,184.591,0.0863,Anime
40.0,0.91,0.412,198107.0,0.0769,0.00144,0.113,-20.142,0.032,171.168,0.518,Country
51.0,0.0378,0.5489999999999999,177000.0,0.888,7.22e-06,0.156,-3.68,0.0291,104.976,0.386,Alternative
44.0,0.931,0.221,184169.0,0.093,0.957,0.0757,-23.238000000000003,0.0367,102.96,0.127,Classical
65.0,0.273,0.535,184500.0,0.524,0.0,0.08,-6.225,0.192,80.538,0.8909999999999999,Rap
59.0,0.000813,0.653,309573.0,0.708,0.0197,0.0764,-9.367,0.0263,100.698,0.8909999999999999,Alternative
53.0,0.222,0.474,352907.0,0.382,0.0195,0.149,-13.291,0.0252,80.8,0.69,Rock
50.0,0.1009999999999999,0.53,231640.0,0.504,0.000633,0.106,-6.71,0.0251,120.40649672489091,0.56,Country
47.0,0.0021899999999999,0.605,243800.0,0.789,0.0178,0.127,-7.035,0.0338,136.041,0.434,Alternative
47.0,0.8029999999999999,0.193,251173.0,0.00709,0.208,0.0981,-33.602,0.0436,94.681,0.037,Classical
62.0,0.000198,0.39,177048.0,0.91,0.0,0.156,-3.268,0.133,162.253,0.644,Rock
37.0,0.0106,0.204,137350.0,0.104,0.828,0.136,-21.608,0.046,68.32300000000001,0.0323,Classical
49.0,0.000821,0.3429999999999999,217440.0,0.89,0.0,0.0912,-5.759,0.0655,100.061,0.525,Rock
28.0,0.0357,0.455,226027.0,0.951,0.000614,0.389,-2.365,0.109,131.814,0.3829999999999999,Anime
67.0,0.266,0.3279999999999999,180600.0,0.619,1.95e-06,0.178,-7.136,0.282,67.153,0.405,Rap
54.0,0.4539999999999999,0.385,130333.0,0.7909999999999999,0.0,0.0755,-2.647,0.0949,194.638,0.764,Rock
36.0,0.139,0.635,249147.0,0.476,5.97e-05,0.103,-10.441,0.0721,88.053,0.522,Blues
61.0,0.21,0.494,180320.0,0.47,0.0,0.28,-9.599,0.0301,103.477,0.698,Rock
48.0,0.6679999999999999,0.54,349980.0,0.48,0.0468,0.599,-10.737,0.0355,86.054,0.243,Jazz
44.0,0.888,0.37,195360.0,0.471,0.003,0.103,-10.544,0.0371,146.322,0.373,Classical
54.0,0.0005639999999999,0.635,325385.0,0.7559999999999999,0.868,0.11,-9.421,0.0381,129.998,0.106,Electronic
47.0,0.52,0.561,184632.0,0.715,0.0,0.119,-6.343999999999999,0.0417,153.95600000000002,0.4529999999999999,Rock
53.0,0.0248,0.574,182320.0,0.701,3.12e-05,0.313,-6.037999999999999,0.0572,145.069,0.25,Rock
73.0,0.000243,0.431,-1.0,0.914,0.0096,0.502,-4.243,0.0616,147.108,0.534,Rock
59.0,0.00758,0.64,227013.0,0.469,0.000453,0.0711,-8.718,0.0412,90.001,0.305,Rock
36.0,0.847,0.465,131200.0,0.431,0.0,0.36,-10.847,0.0304,93.981,0.74,Blues
53.0,0.00591,0.465,-1.0,0.812,0.000494,0.408,-6.398,0.0467,146.2,0.8109999999999999,Rock
