Prop_ID,Name,Location,Park_Name,Length,Difficulty,Other_Details,Accessible,Limited_Access,lat,lon
R013,Greenbelt Blue Trail (Southern Trailhead),Brielle Avenue & Roanoake Street,La Tourette Parks & Golf Course,12.3 miles,Easy/Moderate,"This is the Greenbelt&rsquo;s longest marked trail.  Its northeastern trailhead at the Greenbelt&rsquo;s Deere Park can be accessed from Staten Island Boulevard.  Walk the trail to its end, near the Brielle Avenue-Roanoake Street intersection in Willowbrook, and you will either pass through or have a view of each of the Greenbelt&rsquo;s five distinct vegetation zones.",N,N,,
R013,Greenbelt Nature Center Trail,Rockland & Brielle avenues,La Tourette Parks & Golf Course,0.85 miles,Easy,"This gentle walk takes you through a forest of red maple, black birch, cherry, tulip, and sassafras trees.  In the understory, there is an abundance of spicebush, which produces bright red berries in the fall.  The trail connects to the blue trail and the white trail.",N,N,,
R013,Greenbelt Red Trail,Richmond Road and St. Patrick's Place,La Tourette Parks & Golf Course,4.0 miles,Easy/Moderate,"This loop trail is in the heart of the Greenbelt, which is also home to six other picturesque hiking trails on which urban explorers can discover Staten Island&rsquo;s vast preserves of natural spaces. The red trail crosses over Buck&rsquo;s Hollow, Heyerdahl Hill, the northern edge of LaTourette golf course and the neighborhood of Lighthouse Hill. Want to make a full day of it&Alpha; A pathway leads from the trail downhill to Historic Richmond Town, where you can walk through a preserved 18th century village.",N,N,,
R013,Greenbelt White Trail (Southern),Rockland Avenue near Brielle Avenue (mid-way trailhead) or Richmond Road near Reidel Avenue,La Tourette Parks & Golf Course,7.6 miles,Easy/Moderate,Connects to Great Kills Park of the Gateway National Park System Service.,N,N,,
R013,Greenbelt Yellow Trail (Southwest Trailhead),Richmond Avenue & Forest Hill Road,La Tourette Parks & Golf Course,8.0 miles,Moderate/Difficult,Traverses the entire Greenbelt from its Northeast corner in the community of Todt Hill to its Southwest corner in  New Springville; access Moses' Mountain at Rockland Avenue and Manor Road behind bus stop.,N,N,,
R017,William T. Davis Wildlife Refuge Pink Trail,Mulberry Avenue off Travis Avenue (limited parking),William T. Davis Wildlife Refuge,0.5 miles,Easy,Excellent birdwatching location; abounds with water-loving trees such as sweet gum and ash.,N,N,,
R030,Willowbrook Park White Trail,Willowbrook Park off Victory Boulevard,Willowbrook Park,7.6 miles,Easy/Moderate,Connects to Great Kills Park of the Gateway National Park System Service.,N,N,,
R088,Gretta Moulton Trail/Green Trail,200 feet ahead of parking lot at the terminus of Nevada Avenue,High Rock Park,0.75 miles,Moderate,"The trail head of this circular trail is off the High Rock Park access road near the Nevada Avenue entrance.  The hike takes you along kettle ponds and knobs, formations characteristic of terminal moraine topography.  The upland forest includes a patch of persimmon trees.  The trail is also known as the Gretta Moulton Trail in honor of an ardent Greenbelt supporter.  Bathrooms nearby.",N,N,,
R088,High Rock Park Lavender Trail,200 feet ahead of parking lot at the terminus of Nevada Avenue,High Rock Park,0.25 miles,Easy,"Jewelweed, skunk cabbage, and various grasses and water plants can be seen, along with black water snakes, snapping turtles, and spring peepers.  Bathrooms nearby.",N,N,,
R115,Deere Park Blue Trail,Staten Island Boulevard,Deere Park,12.3 miles,Easy/Moderate,"This is the Greenbelt&rsquo;s longest marked trail.  Its northeastern trailhead at the Greenbelt&rsquo;s Deere Park can be accessed from Staten Island Boulevard.  Walk the trail to its end, near the Brielle Avenue-Roanoake Street intersection in Willowbrook, and you will either pass through or have a view of each of the Greenbelt&rsquo;s five distinct vegetation zones.",N,N,,
X092,Cass Gallagher Nature Trail,"A short walk in from the intersection of Broadway and Mosholu Avenue, near the horse stables",Van Cortlandt Park,1.4 miles,Moderate/Difficult,,N,N,,
X092,John Kieran Trail,Enter at Golf Course via Van Cortlandt Park South and Bailey Avenue.,Van Cortlandt Park,1.25 miles,Easy,"Maps are available at the Van Cortlandt Nature Center. Named in 1988 for the famed naturalist and newspaperman, this trail journeys through the park's lake area and freshwater wetlands, passing Tibbet's Brook via a wooden bridge perfect for birding, and forms a loop with the Parade Ground.",N,N,,
X092,John Muir Trail,Enter either at Broadway & Mosholu Avenue or Van Cortlandt Park East & Oneida Avenue.,Van Cortlandt Park,1.5 miles,Moderate,"Travel through three ecologically distinct forests on this 1.5 mile route, the only trail in Van Cortlandt Park to traverse the park from east to west. The trail will lead you through park's Northeast Forest, home to red oak, sweetgum, and tulip trees, as well as a frog-filled marsh; the Croton Woods and its sugar maple and hickory trees, as well as the Old Croton Aqueduct; and the hilly Northwest Forest, home to stately tulip, oak, and hickory trees.",N,Y,,
X092,Old Croton Aqueduct Trail,Enter Trail at either Dickinson Avenue & Van Cortlandt Park South or Mosholu Parkway & West Gun Hill Road. ,Van Cortlandt Park,1.1 mile,Easy/Moderate,[Trail renovations will begin soon. Please bear with us as we correct erosion and rebuild paths.] This segment is part of the 41-mile-long aqueduct that brought water from the Croton Dam to New York City in the 1800s.,N,N,,
X092,Putnam Trail,Enter the park at Van Cortlandt Park South and Bailey Avenue.,Van Cortlandt Park,1.5 miles,Easy ,"This section of the 15-mile trail that runs up to Brewster, NY may be accessed by the Van Cortlandt Golf Course parking lot.  Native hardwood (oak-hickory) forest, historically significant route (former railroad route that ran through the park into the 1980s!)",N,N,,
R120,Arden Woods Trail,Arden & Legate Avenue,Arden Woods,1.2 miles,Easy,,N,N,,
R031,Wolfe's Pond Trail,Hylan Boulevard & Cornelia Avenue,Wolfes Pond Park,0.75 miles,Easy,"Both hikers and mountain bikers can explore miles of trails in this south shore location. Trails contain easy, moderate, and difficult terrain.",N,N,,
R027,Long Pond Trail,Page Avenue & Eugene Street,Long Pond Park,1.5 miles,Easy,,N,N,,
R005,Clove Lakes Park Trail,Victory Boulevard,Clove Lakes Park,3.0 miles,Easy,"Visitors can enjoy walks by its valley lakes, ascend pathways through wooded hills, pause along its picturesque bridges, or visit New York City&rsquo;s largest tulip tree.",N,N,,
X039,Kazimiroff Trail,Hunter Island,Pelham Bay Park,,,"Leave the city far behind on the Kazimiroff Nature Trail, which provides self-guided long and short loop paths around 189-acre Hunter Island, leading visitors along the island&rsquo;s wetland border, through its interior forest, and onto the shore of beautiful Orchard Beach.",N,N,,
M042,Inwood Hill Park Hiking Trail,"Check out our <a href=""/park-features/hiking/inwood-hill-park"">Inwood Hill Trails</a> page for a map featuring entrances and directions to scenic locations.",Inwood Hill Park,,Moderate,"Take a step back in time and imagine Manhattan as a forest grove of tulip trees, oaks, and maples. Inwood Hill Park&#39;s marked scenic sites or historic highlights trail will lead you to the top of the hill, where the park&#39;s oldest trees&mdash;two Cottonwoods planted before the park was established&mdash;still live.",N,N,,
X002,Bronx River Forest Trail,Enter at East Gun Hill Road for Red Trail and Burke Avenue or East 204th St. for Blue Trail,Bronx Park,,,"<p>The Bronx River Forest trails offer a river respite from the busy Bronx nearby. Check out our <a href=""/park-features/hiking/bronx-river-forest"">Bronx River Forest Trails</a> page for a map and directions to scenic locations.</p>",N,N,,
R006,Conference House Park Trails,"Check out our <a href=""/park-features/hiking/conference-house-park"">Conference House Park Trails</a> page for a map and directions to scenic locations.",Conference House Park,,,"The Conference House Blue Trail extends from Shore Road and Satterlee Street all the way south to Brighton Street and Surf Avenue. Along the way, you can see a number of historic buildings, including the famed Conference House, and enjoy beautiful waterfront views of this beachside park.",N,N,,
