acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.178,"['Deltron 3030', 'Del The Funky Homosapien', 'Dan The Automator', 'Kid Koala']",0.46,278880.0,4.648,0.772,0.0,2Mh3mh3aKeAgLKaUyDQZbv,4.4e-05,10.0,0.182,-9.724,0.0,Madness,41.0,2000,0.419,174.935,0.741,2000.0
0.0462,['Rehab'],0.6729999999999999,220867.0,3.6811166666666666,0.82,0.0,4OhDlODBpYNg4tuWHh8kj2,0.0,5.0,0.129,-5.265,0.0,It Don't Matter,38.0,2000,0.17,87.23100000000002,0.718,2000.0
0.00437,['Ween'],0.462,210600.0,3.51,0.713,0.0,50PHi5BOQPjTng4JRKvm2L,0.358,7.0,0.382,-6.0310000000000015,1.0,Flutes of Chi,40.0,2000-05-02,0.0315,133.736,0.67,2000.0
0.135,['Elvis Martinez'],0.878,221080.0,3.6846666666666663,0.594,0.0,6YhrPNvIJga1ACuEmsyaPO,7.670000000000001e-05,0.0,0.0692,-6.547999999999999,1.0,Bailando Con El,44.0,2000-05-01,0.0443,134.718,0.916,2000.0
0.436,['Los Razos'],0.708,175560.0,2.926,0.491,0.0,2PsIEl2MF6biKim5ylw3vm,1.33e-06,8.0,0.183,-7.158,1.0,El Tarasco,41.0,2000-01-01,0.0452,114.164,0.964,2000.0
0.197,['Park Ji Yoon'],0.884,210080.0,3.5013333333333336,0.687,0.0,2adWXRegCboef5ZOjW3ffe,3.78e-05,4.0,0.192,-5.632999999999999,0.0,Coming of age ceremony,49.0,2000-07-26,0.172,99.067,0.753,2000.0
0.37,['Lamar Campbell & Spirit Of Praise'],0.511,396333.0,6.60555,0.379,0.0,1c8N865GdfUkCkI87pin5T,0.0,8.0,0.148,-10.184,1.0,More Than Anything,39.0,2000-01-01,0.0262,95.076,0.192,2000.0
0.175,['Emilio Navaira'],0.56,228360.0,3.806,0.647,0.0,5TamOh6vFWof4dpKcIZvLt,0.0,9.0,0.0439,-8.266,1.0,Esperando Su Llamada,47.0,2000,0.0307,152.002,0.858,2000.0
0.489,['Grupo Laberinto'],0.454,143987.0,2.399783333333333,0.568,0.0,1JXbiNdyUxrarBemQfAqYJ,3.74e-06,10.0,0.326,-7.074,1.0,Tu Derrota,42.0,2000-01-01,0.106,197.795,0.971,2000.0
0.000126,['Disturbed'],0.609,203773.0,3.3962166666666667,0.843,0.0,3jYNZPZA5qZHSdSAxBdn5q,0.000239,6.0,0.0535,-3.9,1.0,Violence Fetish,43.0,2000-02-25,0.0369,92.928,0.625,2000.0
0.0256,['Portrait'],0.7709999999999999,235200.0,3.92,0.745,0.0,5rIr1MOh4cWwpdln1QqTPS,0.000374,11.0,0.107,-10.217,0.0,Here We Go Again! - Radio Edit,40.0,2000-01-01,0.0904,106.709,0.599,2000.0
0.000154,['Finger Eleven'],0.409,201467.0,3.3577833333333333,0.872,0.0,3JdtnzG1qxSugpXwNuoo9v,5.08e-05,6.0,0.1669999999999999,-5.2570000000000014,0.0,Drag You Down,40.0,2000-01-01,0.111,200.243,0.412,2000.0
0.51,['Raphael'],0.274,261965.0,4.366083333333333,0.742,0.0,5uyDA5kB1J3CDJgk0Rwfap,0.000147,2.0,0.324,-5.624,1.0,A mi manera - 2000 Remastered Version,54.0,2000-08-17,0.0433,85.493,0.334,2000.0
0.101,['Billy Gilman'],0.442,249840.0,4.164,0.447,0.0,3ZdA3QuqHqOJdsczRwT1hg,0.0,0.0,0.0962,-8.838,1.0,One Voice,39.0,2000-06-14,0.0252,149.65200000000004,0.16,2000.0
0.00498,['Orgy'],0.578,205373.0,3.422883333333333,0.946,0.0,6NldY5aZigWeeGIMY41qG6,1.02e-05,5.0,0.269,-3.091,0.0,Fiction - Dreams in Digital,42.0,2000-09-29,0.0449,119.938,0.545,2000.0
0.117,['Steely Dan'],0.518,277200.0,4.62,0.784,0.0,49K5azCmY65Ha5IuUaO678,0.0,2.0,0.0954,-8.924,1.0,Reelin' In The Years,39.0,2000-01-01,0.0369,135.25,0.736,2000.0
0.000194,['Pantera'],0.307,160960.0,2.682666666666667,0.985,1.0,1OdavDKvGA15nLfSRqAIpp,0.596,2.0,0.252,-3.11,1.0,Hellbound,44.0,2000-01-01,0.0837,117.507,0.65,2000.0
0.425,['Kelly Price'],0.5770000000000001,380333.0,6.338883333333333,0.349,0.0,5FX8KqBY74jLl0BBTSNl2N,0.0,8.0,0.134,-7.77,1.0,As We Lay,40.0,2000-01-01,0.0312,124.01,0.131,2000.0
0.7929999999999999,['Gary Valenciano'],0.184,309986.0,5.166433333333333,0.219,0.0,2Qz6fXjy6tIDrvOcSoOjdD,0.0,3.0,0.0693,-13.497,1.0,I Will Be Here,54.0,2000,0.0302,176.42,0.21,2000.0
0.0288,['Flogging Molly'],0.305,421107.0,7.0184500000000005,0.95,0.0,40jxxlPvRrvPLPyAb22bSu,0.00442,11.0,0.369,-6.527,0.0,Black Friday Rule,44.0,2000-03-07,0.192,142.454,0.633,2000.0
0.132,['The Black Crowes'],0.6409999999999999,274027.0,4.567116666666666,0.8540000000000001,0.0,5BxeyZpeEHaFzlhefhWkqd,0.0,7.0,0.1,-4.628,1.0,Jealous Again,39.0,2000-01-01,0.0274,114.433,0.679,2000.0
0.205,['Bright Eyes'],0.313,272267.0,4.5377833333333335,0.505,0.0,3Zo6R22retEhAnQBbam5As,0.0,4.0,0.0843,-9.406,0.0,"Sunrise, Sunset",41.0,2000-05-29,0.0747,167.352,0.237,2000.0
0.223,['Donnie McClurkin'],0.565,246533.0,4.108883333333333,0.7090000000000001,0.0,01CqXno5gFdZEQqhAPp3eq,0.0,1.0,0.386,-5.475,1.0,Lord I Lift Your Name On High,41.0,2000-08-17,0.033,132.132,0.309,2000.0
0.24,['A Perfect Circle'],0.457,144493.0,2.4082166666666667,0.652,0.0,2Hx56CKZM6T3ueCP5XSGrm,0.0761,4.0,0.0612,-11.691,0.0,Renholdër,43.0,2000-01-01,0.0307,89.40799999999999,0.0643,2000.0
0.629,"['Eric Clapton', 'B.B. King']",0.606,516533.0,8.608883333333333,0.568,0.0,3gGKOVwsAVvwt9BcH3k18J,0.00418,11.0,0.116,-5.294,1.0,Three O'Clock Blues,49.0,2000-06-13,0.0421,77.067,0.4270000000000001,2000.0
0.89,"['Antonín Dvořák', 'London Symphony Orchestra', 'Sir Colin Davis']",0.154,775307.0,12.921783333333334,0.00261,0.0,3jLcwFns5S9OYQojN8XAkJ,0.763,1.0,0.125,-36.267,1.0,"Symphony No. 9 in E Minor, Op. 95 ""From the New World"": II. Largo - Live",46.0,2000-01-01,0.0419,83.54899999999998,0.0366,2000.0
0.0712,['D12'],0.8,330333.0,5.50555,0.7490000000000001,1.0,03NIra3KSLDgnqgIiQJNow,0.0,8.0,0.0929,-6.7170000000000005,0.0,Shit On You,38.0,2000-01-01,0.394,109.925,0.74,2000.0
0.0829,['Duane Eddy'],0.539,150867.0,2.51445,0.74,0.0,3owKZYdWWzNcThn3NLRkb3,0.893,10.0,0.399,-7.315,1.0,Peter Gunn,47.0,2000-01-01,0.0401,123.83,0.726,2000.0
0.016,['South Park Mexican'],0.785,240293.0,4.004883333333334,0.7909999999999999,1.0,36grBPDg2X9tpIDJVxyqw0,1.2e-05,7.0,0.124,-5.553,1.0,Hillwood Hustlaz II,38.0,2000-12-12,0.12,77.001,0.937,2000.0
0.8859999999999999,['John Hartford'],0.51,90427.0,1.5071166666666669,0.448,0.0,24KOm6f014u1lN5hdONqCb,0.379,7.0,0.203,-12.42,1.0,Indian War Whoop,41.0,2000-12-05,0.0305,115.807,0.286,2000.0
0.00555,['A Perfect Circle'],0.357,209373.0,3.48955,0.599,0.0,1ScZXVXbtc0nE5SJ23lbfI,0.8140000000000001,1.0,0.111,-8.304,0.0,Thomas,43.0,2000-01-01,0.033,167.82299999999995,0.138,2000.0
0.0814,['MoKenStef'],0.616,253040.0,4.217333333333333,0.535,0.0,20VRVHMwAspwLA207PdKOn,0.0924,11.0,0.121,-8.789,1.0,He's Mine,38.0,2000-01-01,0.0379,64.979,0.391,2000.0
0.775,['Luis Fonsi'],0.56,247800.0,4.13,0.488,0.0,0LwCtv2JW5yTl5qd91e4tL,0.0,4.0,0.118,-6.287000000000001,1.0,Imagíname Sin Ti,43.0,2000-01-01,0.0309,118.21,0.153,2000.0
0.556,['Reflection Eternal'],0.607,238573.0,3.9762166666666663,0.753,1.0,0kHIEdWbOvnrvTmRfPtHDN,0.0,10.0,0.623,-7.3439999999999985,0.0,Memories Live,44.0,2000-10-17,0.315,88.98100000000002,0.703,2000.0
0.805,['Fuel'],0.589,269893.0,4.498216666666666,0.287,0.0,4oSEDFCaImn6rbwPzSZlab,5.82e-06,0.0,0.0925,-9.508,1.0,Daniel,42.0,2000-09-19,0.0316,116.351,0.161,2000.0
0.8190000000000001,['John Archambault and David Plummer'],0.88,145547.0,2.4257833333333334,0.379,0.0,3aCnWGT8DmlbpAV75McnZR,0.0,7.0,0.0869,-11.647,1.0,Chicka Chicka Boom Boom,41.0,2000,0.0493,135.28,0.682,2000.0
0.0367,['Fastball'],0.5429999999999999,197867.0,3.2977833333333333,0.958,0.0,5awZBMKId8PN6ZrQh2Z3Rp,7.05e-06,6.0,0.27,-3.736,1.0,You're An Ocean,40.0,2000-01-01,0.0431,134.08700000000002,0.69,2000.0
0.0238,['Wu-Tang Clan'],0.831,296427.0,4.94045,0.5710000000000001,1.0,7hUNOFpJNxK3EdryB5PqAJ,0.0,11.0,0.688,-5.648,1.0,"Careful (Click, Click)",44.0,2000-11-20,0.303,90.367,0.438,2000.0
0.00472,['The Murder City Devils'],0.1369999999999999,231267.0,3.85445,0.931,0.0,2cYjCcAXC0Vhp26AM7f4SL,0.6659999999999999,0.0,0.107,-6.64,1.0,Press Gang,42.0,2000-06-06,0.15,167.516,0.172,2000.0
0.00411,['Insane Clown Posse'],0.919,232200.0,3.87,0.785,1.0,4y8G3pyyBvBKd47iyvHBNj,0.0,1.0,0.112,-4.141,1.0,My Axe,39.0,2000-01-01,0.0806,109.045,0.8009999999999999,2000.0
0.0862,"['JAY-Z', 'Beanie Sigel', 'Memphis Bleek', 'Freeway']",0.478,230707.0,3.8451166666666663,0.911,1.0,0P6MfJyIKSLd1PvzQy2w2e,0.0,1.0,0.296,-4.617,1.0,1-900-Hustler,40.0,2000-10-31,0.4320000000000001,179.979,0.5870000000000001,2000.0
0.931,"['Denez Prigent', 'Lisa Gerrard']",0.123,351880.0,5.8646666666666665,0.136,0.0,00suglGfe7WNFpS1YyCTt6,0.00355,10.0,0.13,-13.977,0.0,Gortoz A Ran,52.0,2000-01-01,0.0412,72.363,0.037,2000.0
0.328,"['Eric Clapton', 'B.B. King']",0.7979999999999999,219960.0,3.666,0.5379999999999999,0.0,1r6Xp7EiQQ7F63HjbFHNJn,0.00206,7.0,0.182,-11.412,1.0,Key to the Highway,49.0,2000-06-13,0.0363,81.018,0.677,2000.0
0.328,['Rose Royce'],0.727,200574.0,3.3429,0.664,0.0,2fwhPYJviq6R9qGZs5vTFQ,2.5e-06,9.0,0.0434,-6.6110000000000015,0.0,Car Wash,40.0,2000-05-02,0.181,115.171,0.785,2000.0
0.0494,['*NSYNC'],0.4920000000000001,210333.0,3.50555,0.973,0.0,0MxKHJEhhFOJsvYak4Q5Bu,0.0778,4.0,0.335,-4.618,1.0,Bringin' Da Noise,39.0,2000-03-21,0.0424,113.415,0.865,2000.0
0.16,['Los Invasores De Nuevo León'],0.846,225267.0,3.75445,0.5,0.0,3TSjvofuOdFlXtW2Mba0yV,0.0,5.0,0.0929,-10.14,1.0,Mi Linda Esposa,44.0,2000-01-01,0.0289,99.994,0.7709999999999999,2000.0
0.8809999999999999,['John Prine'],0.469,297173.0,4.952883333333333,0.161,0.0,0rXCeTgjXDJOwWnPA591Tt,0.00322,9.0,0.133,-17.632,1.0,Hello in There,40.0,2000-10-31,0.0319,134.92700000000002,0.184,2000.0
0.165,['Deep Purple'],0.4970000000000001,207467.0,3.457783333333333,0.787,0.0,7yn7rpRvg6XCq10B94etIp,0.522,9.0,0.17,-11.039,1.0,Black Night,40.0,2000-05-09,0.0734,134.59799999999998,0.812,2000.0
0.0232,['Big Moe'],0.893,261427.0,4.357116666666667,0.438,0.0,0iqUHPYSODJxsCfUDuPtm5,0.0,9.0,0.605,-10.517,1.0,City Of Syrup (feat. Z-Ro & Tyte Eyez),38.0,2000-07-25,0.134,104.451,0.423,2000.0
0.65,['Nickel Creek'],0.568,319373.0,5.322883333333333,0.316,0.0,0l4s9ze0CrQfOiE8jaMs1H,0.0978,2.0,0.0831,-14.904000000000002,1.0,Out Of The Woods,39.0,2000,0.0328,133.989,0.249,2000.0
0.17,['St Germain'],0.7659999999999999,507607.0,8.460116666666668,0.888,0.0,1XAzFYJR94m9T4AgshhO99,0.0416,5.0,0.277,-7.732,0.0,So Flute,55.0,2000,0.0362,122.015,0.732,2000.0
0.135,['Bob Dylan'],0.71,307533.0,5.1255500000000005,0.901,0.0,3UEWtvTL3mE797dNOv8Rzw,0.0022,2.0,0.218,-7.317,0.0,Things Have Changed - Single Version,46.0,2000-02-02,0.0342,126.602,0.913,2000.0
0.0113,['Mudvayne'],0.745,328733.0,5.478883333333333,0.956,0.0,099F8DBwudywg5KK6WVFox,0.0699,11.0,0.356,-4.503,0.0,Nothing To Gein,41.0,2000-08-13,0.0627,112.074,0.502,2000.0
0.00892,['Ween'],0.565,271133.0,4.518883333333333,0.753,0.0,42WCGd8b9J771EyHBxpxwP,0.718,7.0,0.145,-6.294,1.0,Exactly Where I'm At,40.0,2000-05-02,0.0346,114.006,0.8240000000000001,2000.0
0.0135,['Green Day'],0.708,213240.0,3.5540000000000003,0.6920000000000001,0.0,4gd9sHUPgvFpQz70Oj4bwe,3.92e-05,1.0,0.0742,-4.2860000000000005,0.0,"Blood, Sex and Booze",45.0,2000-10-03,0.0341,92.631,0.42,2000.0
0.74,"['Billy Bragg', 'Wilco']",0.327,386440.0,6.440666666666667,0.385,0.0,4OeQKOUwR6vMNy7WZChltZ,1.49e-05,5.0,0.142,-10.162,1.0,Remember the Mountain Bed,41.0,2000,0.0434,68.556,0.354,2000.0
0.494,['Queens of the Stone Age'],0.369,241000.0,4.016666666666667,0.7390000000000001,0.0,2Nt0KxMdXtpwUiiiIFp2Cq,0.0639,11.0,0.5589999999999999,-4.607,0.0,Auto Pilot,41.0,2000-06-06,0.0395,79.008,0.416,2000.0
0.8440000000000001,['Frank Sinatra'],0.324,171533.0,2.858883333333333,0.191,0.0,7B8IvJclv9W7LcINxYSFR5,0.0,8.0,0.388,-13.865,1.0,Young At Heart - Remastered,39.0,2000-01-01,0.0349,83.57700000000001,0.381,2000.0
0.94,['PowerThoughts Meditation Club'],0.0608,1873000.0,31.216666666666665,0.0157,0.0,1a6Hkf3ag1J9wm6OM0lz1N,0.936,5.0,0.0892,-31.917,1.0,432Hz Miracle Tone With 528Hz Solfeggio Frequency,45.0,2000,0.0469,67.88,0.0361,2000.0
0.17,['Christina Aguilera'],0.905,190240.0,3.170666666666667,0.882,0.0,2PYJnUWEPPP8C6b79UiwIl,7.82e-05,8.0,0.0958,-3.498,1.0,Ven Conmigo (Solamente Tú),55.0,2000,0.0489,118.95,0.962,2000.0
0.727,"['Jodi Benson', 'Samuel E. Wright', 'Rob Paulsen', 'Clancy Brown', 'Kay E Kuter']",0.387,212147.0,3.5357833333333333,0.44,0.0,5O3XZbXoPs3KD87OH3sO31,0.0,5.0,0.138,-10.937,1.0,Down to the Sea,43.0,2000-01-01,0.0872,96.062,0.5820000000000001,2000.0
0.83,['Rage Against The Machine'],0.556,154573.0,2.576216666666667,0.227,0.0,6DTSCjeK32PYp1Sap27vvY,0.00504,9.0,0.114,-17.461,0.0,Beautiful World,44.0,2000-12-05,0.0396,84.38799999999998,0.0348,2000.0
2.45e-05,['Pantera'],0.301,319173.0,5.31955,0.988,1.0,4zwzfzX5nXgD5Ro2tXIxhf,0.231,1.0,0.191,-2.898,1.0,I'll Cast a Shadow,44.0,2000-01-01,0.173,127.803,0.166,2000.0
0.555,['El Coyote Y Su Banda Tierra Santa'],0.6990000000000001,136760.0,2.279333333333333,0.434,0.0,4NiNF2TgroCObAR1iYX1MR,3.48e-06,7.0,0.248,-9.4,1.0,Hablando Claro,41.0,2000-01-01,0.0325,104.956,0.977,2000.0
0.304,['Grupo Yndio'],0.52,223467.0,3.72445,0.613,0.0,6nAkDgnYiBWK7cwGXdAMZ4,0.0,6.0,0.0778,-5.948,1.0,Sin Tu Amor,43.0,2000-10-17,0.0246,95.496,0.589,2000.0
6.579999999999999e-05,['PJ Harvey'],0.59,226667.0,3.777783333333333,0.685,0.0,04Glred2wGdSNH11Qh4EDe,3.08e-05,0.0,0.165,-5.216,1.0,This Is Love,50.0,2000-01-01,0.0282,112.411,0.425,2000.0
0.332,['El Coyote Y Su Banda Tierra Santa'],0.7140000000000001,209760.0,3.496,0.552,0.0,0TRM2GPcSWaZWJUr4cMDin,0.0,5.0,0.0702,-8.751,1.0,El Cachanilla,42.0,2000-01-01,0.0359,131.984,0.983,2000.0
0.00256,['3 Doors Down'],0.463,227973.0,3.79955,0.91,0.0,4h9GuOsZdhe4w5TPMQHNWQ,0.0592,7.0,0.088,-5.278,1.0,So I Need You,43.0,2000,0.0398,144.906,0.682,2000.0
0.132,['Jaime Y Los Chamacos'],0.841,192187.0,3.203116666666667,0.8190000000000001,0.0,1lyouvzXgNG40YtpDaSF6d,3.72e-05,0.0,0.0406,-4.269,1.0,Como Te Llamas Paloma,39.0,2000-04-25,0.0368,98.831,0.942,2000.0
0.00257,['La Gusana Ciega'],0.469,224320.0,3.7386666666666666,0.926,0.0,1BaNzcWE5fAJ6Ujh1CytzN,0.00402,9.0,0.33,-4.492,1.0,Tornasol (Vuelves a Ser),58.0,2000-01-01,0.0461,154.349,0.56,2000.0
0.406,['Jay Chou'],0.603,280493.0,4.674883333333333,0.292,0.0,1lHR2yz3Dl8U0fNJjpFuge,0.0,10.0,0.136,-7.622000000000001,1.0,黑色幽默,50.0,2000-11-06,0.0282,127.905,0.231,2000.0
0.00143,['The Juliana Theory'],0.5870000000000001,197400.0,3.29,0.759,0.0,4BejqreqjhlN3FcR2irbKg,0.0,5.0,0.0637,-5.5710000000000015,1.0,We're At The Top Of The World,40.0,2000-01-01,0.0346,128.4,0.866,2000.0
0.823,['Panchiko'],0.455,261850.0,4.364166666666667,0.7959999999999999,0.0,3mkO4ZYDzNMbuJQtzFHz9A,0.528,5.0,0.102,-7.29,0.0,D>E>A>T>H>M>E>T>A>L,42.0,2000-12-05,0.0444,86.999,0.258,2000.0
0.426,['Elliott Smith'],0.346,157733.0,2.628883333333333,0.175,0.0,3nkdVXnH4xC6f3YZS0C8pC,0.000263,10.0,0.154,-17.192,1.0,Everything Reminds Me Of Her,43.0,2000-01-01,0.0427,168.045,0.357,2000.0
0.22,['Brenda And The Tabulations'],0.503,199800.0,3.33,0.62,0.0,0EocUlMbfRJlO1ieFjgZGB,2.29e-06,0.0,0.0778,-7.265,0.0,Right on the Tip of My Tongue,38.0,2000-01-01,0.0364,156.243,0.736,2000.0
0.0518,['Mindless Self Indulgence'],0.639,124360.0,2.0726666666666667,0.8440000000000001,0.0,3ZRKkl06xmosJOH5zbkc5Y,0.0899,6.0,0.113,-8.721,1.0,Golden I,41.0,2000-02-11,0.0568,167.865,0.8740000000000001,2000.0
0.00239,['Coldplay'],0.429,266773.0,4.446216666666667,0.6609999999999999,0.0,3e0wYnFxkqinmtXebYPMSt,0.00013,11.0,0.234,-7.227,1.0,Yellow,51.0,2000-06-26,0.0281,173.365,0.285,2000.0
0.0153,"['OutKast', 'Killer Mike', 'J-Sweet']",0.565,259693.0,4.328216666666666,0.922,1.0,6C872iuQnICFQy5Z5hIIJX,0.0,1.0,0.267,-5.561,0.0,Snappin' & Trappin' (with Killer Mike & J-Sweet),42.0,2000-10-31,0.368,193.91,0.4320000000000001,2000.0
0.701,['José Alfredo Jimenez'],0.5870000000000001,144467.0,2.4077833333333336,0.403,0.0,2bAjPbUKFb5waXyAoX7hix,1.62e-05,0.0,0.256,-7.141,1.0,Si Nos Dejan,42.0,2000-08-04,0.0268,108.642,0.613,2000.0
0.0256,['Jeff Kashiwa'],0.723,261000.0,4.35,0.733,0.0,5nRaaCkfZUrsg3MRYOXTFU,0.261,10.0,0.336,-6.638,0.0,"Hyde Park (The 'Ah, Oooh' Song)",40.0,2000-08-22,0.0282,104.004,0.711,2000.0
0.932,['Cat Power'],0.5920000000000001,185160.0,3.086,0.0965,0.0,6NTNGqmF2lCfu7l3CPuMLe,0.000557,9.0,0.107,-16.739,0.0,(I Can't Get No) Satisfaction,47.0,2000-03-21,0.031,100.421,0.268,2000.0
0.7979999999999999,['Lara & Reyes'],0.679,319800.0,5.33,0.7879999999999999,0.0,2u2cS7pCuDbkJ5h6gcM46i,0.802,5.0,0.136,-7.1560000000000015,1.0,Amor De Lejos,42.0,2000-01-01,0.0298,109.532,0.7290000000000001,2000.0
0.0284,['Collective Soul'],0.6679999999999999,217493.0,3.6248833333333335,0.647,0.0,0h00uh7oGC6WYX1H8Ur7zf,0.000349,6.0,0.134,-4.9460000000000015,1.0,Why Pt. 2,43.0,2000-10-10,0.0813,121.624,0.747,2000.0
0.0177,['Living Legends'],0.826,241400.0,4.023333333333333,0.655,1.0,7h92c8JNP4bY5r8m42hKqn,0.0,0.0,0.0826,-6.28,1.0,Night Prowler (feat. Slug),43.0,2001-10-10,0.289,166.03599999999997,0.767,2001.0
0.0291,"['Ja Rule', ""Lil' Mo"", 'Vita']",0.573,282827.0,4.713783333333334,0.851,1.0,0mu59f9C3CwjFdtmf0j80v,0.0,6.0,0.0937,-4.829,0.0,Put It On Me,44.0,2001-01-01,0.336,185.778,0.715,2001.0
0.0473,['Los Acosta'],0.604,222800.0,3.713333333333333,0.66,0.0,6o1XbbvxdZC1XYfVBtXdYO,0.00397,7.0,0.375,-8.368,1.0,Tan Bella Y Tramposa,46.0,2001-01-01,0.0366,185.028,0.764,2001.0
0.0877,['Rivermaya'],0.4320000000000001,280947.0,4.68245,0.563,0.0,4N0XG7hGoVnUKI2kuRGN1u,0.000355,2.0,0.294,-8.807,1.0,Kisapmata,58.0,2001,0.0309,136.172,0.397,2001.0
0.178,['112'],0.3720000000000001,326533.0,5.442216666666667,0.375,0.0,4BdKKkvIMGWN6AtqjrW9Hj,0.0,1.0,0.0742,-9.453,0.0,Sweet Love,44.0,2001,0.0507,109.45,0.204,2001.0
0.363,['Polo Urias Y Su Maquina Norteña'],0.688,137480.0,2.291333333333333,0.899,0.0,2BJgWwgobhsv5JlJkKJClF,9.09e-06,5.0,0.103,-5.285,1.0,Aquél Montón De Cartas,40.0,2001-01-01,0.0383,119.46,0.965,2001.0
0.105,['G. Dep'],0.75,389867.0,6.4977833333333335,0.889,1.0,5pkODNs3tEe8DMqjorjR8c,3.71e-06,10.0,0.368,-5.3870000000000005,0.0,Special Delivery,43.0,2001,0.274,100.244,0.69,2001.0
0.327,['Grupo Bryndis'],0.4270000000000001,231373.0,3.856216666666666,0.569,0.0,3rt5Q6kxIveKmxLL1hIBHh,0.0162,2.0,0.11,-10.088,0.0,Un Brindis Por Ti,45.0,2001-01-01,0.0285,186.608,0.774,2001.0
